release_id,event_id,development,human_direction,ai_direction,complete_written_source,human_evidence,ai_evidence,source_urls
2026-W36,0334c706-bf57-49e7-9d43-39081361d867,"US pushes looser approach to AI regulation, while EU pushes new law",gain,gain,True,The evidence describes broader opportunities and growth for people through AI-enabled activity like infrastructure and job creation.,Regulatory looseness is framed as enabling AI deployment and expansion across sectors.,https://www.aljazeera.com/news/2026/9/2/us-pushes-looser-approach-to-ai-regulation-while-eu-pushes-new-law
2026-W36,03524948-20d9-42af-94ce-f75de98be054,Ensuring multiomics data reproducibility for artificial intelligence with reference materials as a common calibrator,unresolved,unresolved,False,,,https://www.nature.com/articles/s41587-026-03267-1
2026-W36,03d6b027-28b5-4e3f-8636-4d9d13f6f2ff,A Caution About Artificial Intelligence,unresolved,unresolved,False,,,https://journal.classiccars.com/2026/09/06/a-caution-about-artificial-intelligence
2026-W36,0600999d-ccb9-4027-8ae9-5be206859e05,How Artificial Intelligence is Reshaping the Global Job Market and Creating New Career Paths,gain,gain,True,People gain new career paths and entrepreneurship opportunities through AI-enabled tools and processes.,AI tools enable new outputs and expand the range of tasks it can automate or assist with.,https://www.alwihdainfo.com/how-artificial-intelligence-is-reshaping-the-global-job-market-and-creating-new-career-paths
2026-W36,0b1cd3e8-e2ed-4b93-9afc-9a96e9cb611e,"Another big school district bans generative AI, this time for all students",unresolved,unresolved,False,,,https://www.washingtonpost.com/education/2026/09/03/another-big-school-district-bans-generative-ai-this-time-all-students
2026-W36,0bd5c6f7-5694-49f2-b1c8-f49a12941302,OpenAI claims it has surpassed Anthropic with its latest AI model,none,gain,True,no explicit human outcomes described,claims of surpassing a competitor imply AI capability growth,https://www.ft.com/content/55ab40c0-59e2-4c0b-97c9-4f4f5a71a8bb?syn-25a6b1a6=1
2026-W36,0ef85c02-5f7e-43ff-af8d-649872eac9f3,New viruses created by artificial intelligence,unresolved,unresolved,False,,,https://www.mediapart.fr/journal/culture-et-idees/050926/des-nouveaux-virus-fabriques-par-l-intelligence-artificielle
2026-W36,0f371306-78fa-41b0-a71a-3237a7b03b99,Guandu District Artificial Intelligence Industry Development Conference held; multiple projects signed on the spot,none,none,True,"The evidence shows policy support, project signings, and an alliance to expand AI use benefiting local businesses and workforce",AI infrastructure and industry ecosystems are being expanded through collaborations and policy support,https://www.cnr.cn/yn/cjrh/20260901/t20260901_527801178.shtml
2026-W36,119227b7-8482-42b4-840a-8f6c8038f964,AI’s worst disasters will arrive unannounced | Letters,gain,loss,True,"Global governance and human oversight are urged to curb AI risks, implying people gain control and safety via restrictions.",Security measures and international agreements aim to restrict AI deployment and capabilities.,https://www.theguardian.com/technology/2026/aug/30/ais-worst-disasters-will-arrive-unannounced
2026-W36,14a3e4f9-2082-4a66-8388-4769f458914c,"'Wild West': Teachers, experts call for unified policies to address AI in classrooms",gain,gain,True,Educators seek coordinated policy to enable reliable AI-enabled learning.,"Policy and framework development enable safer, more consistent AI use in classrooms.",https://www.ctvnews.ca/sci-tech/article/wild-west-teachers-experts-call-for-unified-policies-to-address-ai-in-classrooms
2026-W36,17ab9564-5a2b-4731-bcc6-10512c2f5c13,The Factory of the World - Racing to Artificial Intelligence: Eat or Be Eaten,unresolved,unresolved,False,,,https://www.rfi.fr/fr/podcasts/la-fabrique-du-monde/20260903-course-%C3%A0-l-intelligence-artificielle-manger-ou-%C3%AAtre-mang%C3%A9
2026-W36,17cc1033-88ee-4f1b-b925-f12389dc4371,"Artificial Intelligence – Part 4: The Hype, the Dangers, and the Resistance",mixed,mixed,True,"The evidence describes workers and patients facing displacement, deskilling, or degraded service due to AI; it portrays AI deployment as expanding reach while diminishing human agency. People gain agency by opposing resource-intensive AI and seeking control over development.","The evidence shows AI being deployed broadly across sectors, with unions pushing back and demanding safeguards, indicating AI expansion and governance challenges. Opposition and movement to restrict the deployment of powerful AI systems is described.",https://socialistproject.ca/2026/09/artificial-intelligence-part-4
2026-W36,1980db5b-8fc2-43d7-91c7-2f51ae1adf8c,5 Things Doctors Should Know About Medical AI Regulation,unresolved,unresolved,False,,,https://www.medscape.com/viewarticle/5-things-doctors-should-know-about-medical-ai-regulation-2026a1000wxy
2026-W36,19b81d33-4e8e-4ae1-8d2f-c519907aac89,Zhengzhou University: Empowering scientific research and agricultural production with AI,gain,gain,True,People gain capacity and opportunities through AI-enabled education and industry applications.,AI systems are actively deployed to extend reach and capabilities in agriculture and education.,https://www.stdaily.com/web/gdxw/2026-09/02/content_573766.html
2026-W36,1a8dce4b-a641-4a3b-8139-a9a8b5aa2e27,U.S. bishops focus on young people and artificial intelligence in Labor Day message,mixed,mixed,True,People face unemployment risk and need protections amid AI adoption,Societal guidance is needed to align AI with human dignity and the common good,https://www.ewtnnews.com/world/us/bishops-2026-labor-day-message
