id,title,publisher,iso_date,displayed_date,link,snippet,matched_countries,matched_languages,collected_at,review_status,ai_relevance,event_country,notes
b5fd7889d4b483aa7afa,Air ambulance charity to use artificial intelligence for donated goods,Greater Birmingham Chambers of Commerce,2026-09-07T03:56:15Z,"09/07/2026, 03:56 AM, +0000 UTC",https://www.greaterbirminghamchambers.com/resource/air-ambulance-charity-to-use-artificial-intelligence-for-donated-goods.html,,United Kingdom,en,2026-09-07T04:39:12.526463Z,unreviewed,,,
93d81f8f7911f190ef92,AI赋能提升中国医疗服务水平,新华网,2026-09-07T02:27:25Z,"09/07/2026, 02:27 AM, +0000 UTC",https://www.news.cn/liangzi/20260907/7955c39f57d041389a549d1f128f0050/c.html,,China,zh-cn,2026-09-07T04:39:12.526463Z,unreviewed,,,
e756a814c962ac4f570e,人工智能让“中国智造”更具吸引力,新华网,2026-09-07T02:25:10Z,"09/07/2026, 02:25 AM, +0000 UTC",https://www.news.cn/tech/20260907/7a6e1e08de10453aac0bee0b7ee206e1/c.html,,China,zh-cn,2026-09-07T04:39:12.526463Z,unreviewed,,,
775fab5020dd105e5901,勇当AI“排头兵”，上海国投公司发行全国首单超长期限人工智能产业链科创债_国企动态,gzw.sh.gov.cn,2026-09-07T02:18:26Z,"09/07/2026, 02:18 AM, +0000 UTC",https://www.gzw.sh.gov.cn/shgzw_zxzx_gqdt/20260907/e9e910bc6db7410c97da3eba715878e1.html,,China,zh-cn,2026-09-07T04:39:12.526463Z,unreviewed,,,
bb8af3c7a324a5bb0d54,读懂人工智能的“千里马之喻”（创新谈）,人民日报,2026-09-07T00:34:12Z,"09/07/2026, 12:34 AM, +0000 UTC",http://paper.people.com.cn/rmrb/pc/content/202609/07/content_30179482.html,,China,zh-cn,2026-09-07T04:39:12.526463Z,unreviewed,,,
d594b191c0b4dd90077a,"As generative AI grows, so do concerns about criminal misuse",Texas Public Radio | TPR,2026-09-07T00:29:00Z,"09/07/2026, 12:29 AM, +0000 UTC",https://www.tpr.org/news/2026-09-06/as-generative-ai-grows-so-do-concerns-about-criminal-misuse,,United States,en,2026-09-07T04:39:12.526463Z,unreviewed,,,
566a9c135aab9fb95e2c,科技新观察丨未来五年，如何接住AI“新饭碗”,中国科技网,2026-09-06T23:55:40Z,"09/06/2026, 11:55 PM, +0000 UTC",https://www.stdaily.com/web/2026-09/07/content_576205.html,,China,zh-cn,2026-09-07T04:39:12.526463Z,unreviewed,,,
17294ce2dc131a45dc46,Amazon.com (AMZN) Deepens Its Foothold In Autonomous Mobility And AI Policy,Yahoo! Finance Canada,2026-09-06T20:09:34Z,"09/06/2026, 08:09 PM, +0000 UTC",https://ca.finance.yahoo.com/news/amazon-com-amzn-deepens-foothold-200934233.html,,Canada,en,2026-09-07T04:39:12.526463Z,unreviewed,,,
6fbc6c619bea90998e70,The Amazon Service Bezos Nicknamed “Artificial Artificial Intelligence” is Closing for Good,Yahoo! Finance Canada,2026-09-06T19:21:19Z,"09/06/2026, 07:21 PM, +0000 UTC",https://ca.finance.yahoo.com/news/amazon-bezos-nicknamed-artificial-artificial-192119001.html,,Canada,en,2026-09-07T04:39:12.526463Z,unreviewed,,,
c8c9485d028b06239886,La nouvelle application mobile de Paris Match conçue avec l’IA générative,La Revue du Digital,2026-09-06T15:43:00Z,"09/06/2026, 03:43 PM, +0000 UTC",https://www.larevuedudigital.com/la-nouvelle-application-mobile-de-paris-match-concue-avec-lia,,France,fr,2026-09-07T04:39:12.526463Z,unreviewed,,,
c2320b2db32762981e6d,Intelligence artificielle : Google change les règles du jeu avec ses réponses AI Overviews,ladepeche.fr,2026-09-06T14:21:00Z,"09/06/2026, 02:21 PM, +0000 UTC",https://www.ladepeche.fr/2026/09/06/intelligence-artificielle-google-change-les-regles-du-jeu-avec-ses-reponses-ai-overviews-13538470.php,,France,fr,2026-09-07T04:39:12.526463Z,unreviewed,,,
f9666e1499853e915e05,A Caution About Artificial Intelligence,The ClassicCars.com Journal,2026-09-06T13:44:14Z,"09/06/2026, 01:44 PM, +0000 UTC",https://journal.classiccars.com/2026/09/06/a-caution-about-artificial-intelligence,,Canada; United Kingdom; United States,en,2026-09-07T04:39:12.526463Z,unreviewed,,,
f8b6ba22c29411b8cc5b,I’m a father of three who studies the impact of artificial intelligence: this is what parents need to know about AI,The Guardian,2026-09-06T11:00:00Z,"09/06/2026, 11:00 AM, +0000 UTC",https://www.theguardian.com/technology/2026/sep/06/daniel-susskind-father-studies-ai-artificial-intelligence-what-parents-need-know,,Canada; United Kingdom; United States,en,2026-09-07T04:39:12.526463Z,unreviewed,,,
d6a92fc0b906d5032bb5,Quand l’intelligence artificielle devient une question de foi à Washington,Mon Carnet – de l'actualité numérique,2026-09-06T10:30:00Z,"09/06/2026, 10:30 AM, +0000 UTC",https://moncarnet.com/2026/09/06/quand-lintelligence-artificielle-devient-une-question-de-foi-a-washington,,Canada,fr,2026-09-07T04:39:12.526463Z,unreviewed,,,
92834a408b7f48278687,Le nouveau modèle d'IA de Runway permet de créer des univers numériques sans écrire une seule ligne de code,CNET France,2026-09-06T08:00:21Z,"09/06/2026, 08:00 AM, +0000 UTC",https://fr.cnet.com/ai-1/5615/le-nouveau-modele-dia-de-runway-permet-de-creer-des-univers-numeriques-sans-ecrire-une-seule-ligne-d,,Canada,fr,2026-09-07T04:39:12.526463Z,unreviewed,,,
5af1755a15129deea841,"Nvidia, chef d’orchestre de la bulle de l’intelligence artificielle",Mediapart,2026-09-06T07:11:01Z,"09/06/2026, 07:11 AM, +0000 UTC",https://www.mediapart.fr/journal/economie-et-social/060926/nvidia-chef-d-orchestre-de-la-bulle-de-l-intelligence-artificielle,,France,fr,2026-09-07T04:39:12.526463Z,unreviewed,,,
13bbbace9a9f62a2906f,Intelligence artificielle : « Les entreprises prennent le sujet à bras-le-corps »,L'Alsace,2026-09-06T05:05:47Z,"09/06/2026, 05:05 AM, +0000 UTC",https://www.lalsace.fr/economie/2026/09/06/intelligence-artificielle-les-entreprises-prennent-le-sujet-a-bras-le-corps,,France,fr,2026-09-07T04:39:12.526463Z,unreviewed,,,
